Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S118,32,12,100.0 %,100.0 %,7.59,A- (3.70),B+ (3.43)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),SP18,180,71,87.0 %,97.1 %,5.21,B+ (3.65),B+ (3.37)
"Kleissl, Jan",MAE 87 - Freshman Seminar (A),SP18,20,5,80.0 %,100.0 %,0.9,N/A,N/A
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),WI18,193,72,83.1 %,84.3 %,6.97,B+ (3.38),B+ (3.30)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),FA17,189,76,88.7 %,87.5 %,7.25,B+ (3.45),B (3.28)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S217,37,17,100.0 %,100.0 %,7.5,B (3.20),N/A
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S117,55,23,100.0 %,95.2 %,6.77,A- (3.86),B (3.04)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),SP17,191,64,91.8 %,82.0 %,6.13,A- (3.71),B+ (3.31)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (B),WI17,200,81,88.7 %,88.7 %,6.68,B+ (3.42),B (3.28)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI17,8,5,100.0 %,100.0 %,1,N/A,N/A
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),FA16,174,82,93.5 %,81.8 %,7.93,B+ (3.49),B (3.20)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S216,17,15,100.0 %,100.0 %,6.5,B+ (3.53),N/A
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S116,56,15,92.3 %,100.0 %,8.04,B+ (3.31),B (3.29)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),SP16,180,73,85.5 %,89.9 %,7.65,B+ (3.45),B (3.21)
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),WI16,134,68,68.3 %,9.5 %,9.67,B (3.20),C+ (2.58)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI16,10,8,100.0 %,71.4 %,0.5,A (4.00),N/A
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),FA15,175,83,88.2 %,77.6 %,7.8,B+ (3.39),B (3.19)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S115,49,14,78.6 %,71.4 %,8.19,B+ (3.62),B+ (3.48)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),SP15,189,76,93.2 %,90.5 %,6.11,B+ (3.47),B (3.23)
"Murakami, Hidenori",MAE 87 - Freshman Seminar (A),SP15,15,6,100.0 %,100.0 %,0.5,N/A,N/A
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),WI15,139,57,71.7 %,52.8 %,9.5,B (3.23),B (3.16)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI15,10,7,100.0 %,85.7 %,0.79,A (4.00),N/A
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),FA14,132,77,56.5 %,11.6 %,9.79,B+ (3.34),B (3.03)
"Brucker, Kyle Ashley",MAE 8 - MATLAB Program for Engr Analys (A),SP14,133,45,73.8 %,50.0 %,10.26,B- (2.98),B- (2.99)
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),WI14,149,73,77.5 %,9.9 %,6.73,B+ (3.39),B (3.25)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI14,11,8,87.5 %,87.5 %,0.5,N/A,N/A
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),FA13,111,49,70.8 %,25.0 %,7.54,B (3.13),B (3.10)
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),SP13,82,28,67.9 %,21.4 %,6,B+ (3.41),B- (2.98)
"de Oliveira, Mauricio",MAE 8 - MATLAB Program for Engr Analys (A),WI13,173,69,87.9 %,78.8 %,5.24,B+ (3.56),B+ (3.42)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI13,16,9,88.9 %,88.9 %,0.5,A (4.00),N/A
"Lubarda, Vlado",MAE 8 - MATLAB Program for Engr Analys (B),FA12,135,58,90.4 %,80.8 %,5.64,B+ (3.61),B (3.22)
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),SP12,86,42,70.7 %,19.5 %,5.82,B (3.09),B- (3.00)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),SP12,11,6,100.0 %,83.3 %,0.5,N/A,N/A
"Lubarda, Vlado",MAE 8 - MATLAB Program for Engr Analys (A),WI12,100,44,95.5 %,79.5 %,6.14,A- (3.82),B+ (3.35)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI11,7,4,75.0 %,50.0 %,1.17,N/A,N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (B),WI11,9,7,85.7 %,85.7 %,0.83,A (4.00),N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),SP10,8,6,100.0 %,100.0 %,2.9,N/A,N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),WI10,7,3,100.0 %,100.0 %,0.5,N/A,N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),FA08,13,9,88.9 %,88.9 %,0.5,A (4.00),N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),SP08,7,5,100.0 %,100.0 %,0.5,N/A,N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),FA07,12,11,81.8 %,100.0 %,0.5,N/A,N/A
"Coimbra, Carlos F.",MAE 93 - Design Compet/Design Race Car (A),SP19,15,7,100.0 %,100.0 %,6.5,N/A,N/A
"Coimbra, Carlos F.",MAE 93 - Design Compet/Design Race Car (A),FA18,19,16,100.0 %,100.0 %,6.25,A (4.00),N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP18,9,4,100.0 %,100.0 %,1.83,A (4.00),N/A
"Coimbra, Carlos F.",MAE 93 - Design Compet/Design Race Car (A),SP18,22,15,100.0 %,100.0 %,7.3,A (4.00),N/A
"Nomura, Keiko K.",MAE 93 - Design Compet/Design Race Car (A),SP17,20,6,100.0 %,100.0 %,7.5,N/A,N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP16,24,6,100.0 %,100.0 %,2.9,N/A,N/A
"Murakami, Hidenori",MAE 93 - Design Compet/Design Race Car (A),FA15,20,9,77.8 %,66.7 %,4.25,A (4.00),N/A
"Murakami, Hidenori",MAE 93 - Design Compet/Design Race Car (A),FA14,30,11,100.0 %,100.0 %,1.59,A (4.00),N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP14,10,4,100.0 %,100.0 %,3.83,N/A,N/A
"Coimbra, Carlos F.",MAE 98 - Directed Group Study (A),SP13,17,6,83.3 %,83.3 %,3.3,N/A,N/A
"Coimbra, Carlos F.",MAE 98 - Directed Group Study (A),WI13,34,12,75.0 %,91.7 %,2.33,A (4.00),N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP12,7,4,100.0 %,100.0 %,7.83,N/A,N/A
"Lubarda, Vlado",MAE 9 - C/C++ Programming (B),FA11,182,86,77.9 %,67.1 %,6.78,B+ (3.65),B+ (3.35)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (C),FA11,137,73,77.9 %,75.0 %,6.76,B+ (3.62),B+ (3.35)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),SP11,133,53,81.1 %,71.7 %,7.69,A- (3.80),B+ (3.51)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),WI11,184,97,83.5 %,71.1 %,6.58,B+ (3.69),B (3.23)
"Murakami, Hidenori",MAE 9 - C/C++ Programming (A),FA10,190,108,86.8 %,70.5 %,5.65,A- (3.71),B (3.26)
"de Oliveira, Mauricio",MAE 9 - C/C++ Programming (B),FA10,190,110,69.1 %,75.5 %,8.39,B+ (3.41),B+ (3.30)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),SP10,132,55,79.6 %,79.6 %,5.77,B+ (3.57),B (3.06)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),WI10,189,61,81.7 %,71.2 %,7.29,B+ (3.68),B (3.25)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),FA09,224,119,73.3 %,74.8 %,6.01,B+ (3.68),B (3.26)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (B),FA09,202,65,90.8 %,93.8 %,5.38,A- (3.85),B (3.26)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),SP09,103,38,80.6 %,77.1 %,6.77,A- (3.75),B (3.11)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),WI09,157,40,94.7 %,89.5 %,5.3,B+ (3.68),B (3.15)
"Murakami, Hidenori",MAE 9 - C/C++ Programming (B),WI09,107,39,89.5 %,91.7 %,4.55,B+ (3.66),B (3.23)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),FA08,282,110,84.5 %,80.9 %,5.14,A- (3.78),B+ (3.47)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (B),FA08,158,33,84.8 %,78.8 %,4.8,A- (3.84),B+ (3.47)
"Murakami, Hidenori",MAE 9 - C/C++ Programming (A),SU08,29,16,87.5 %,93.8 %,6.5,B+ (3.38),N/A
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),SP08,115,39,92.3 %,92.3 %,6.5,A- (3.77),B+ (3.41)
"Lubarda, Vlado",MAE 9 - C/C++ Programming (A),WI08,206,67,80.6 %,85.1 %,5.77,B+ (3.57),B (3.22)
"Kosmatka, John B",MAE 92A - Design Competitn/Fly Aircraft (A),WI08,21,8,100.0 %,100.0 %,8.25,N/A,N/A
"Lubarda, Vlado",MAE 9 - C/C++ Programming (B),FA07,203,58,79.3 %,93.0 %,6.36,A- (3.75),B (3.29)
"Murakami, Hidenori",MAE 9 - C/C++ Programming (A),SU07,32,18,83.3 %,94.4 %,6.83,B+ (3.56),N/A
"Abbasi, Shaghayegh",BENG 100 - Stat Reasoning Bioeng Applns (A),S119,30,9,66.7 %,100.0 %,7.39,B (3.11),B- (2.70)
"Alexandrov, Ludmil B",BENG 100 - Stat Reasoning Bioeng Applns (A),SP19,174,80,60.0 %,80.0 %,7.38,B (3.14),B- (2.87)
"Huang, Xiaohua",BENG 102 - Moleculr Components Living Sys (A),SP19,41,22,70.0 %,55.0 %,6.9,B+ (3.50),B+ (3.41)
"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP19,119,106,86.8 %,89.6 %,8.82,B (3.28),B- (2.97)
"Engler, Adam J.",BENG 112B - Fluid and Cell Biomechanics (A),SP19,64,58,94.6 %,100.0 %,7.18,B+ (3.30),B (3.24)
"Contijoch, Francisco",BENG 125 - Modeling & Computatio/Bioengr (A),SP19,136,36,100.0 %,96.8 %,6.5,B+ (3.42),B+ (3.48)
"Wheeler, Bruce Christopher",BENG 125 - Modeling & Computatio/Bioengr (A),SP19,136,36,100.0 %,96.8 %,6.5,B+ (3.42),B+ (3.48)
"Mali, Prashant Gulab Ram",BENG 133 - Numerical Analys-Computatn Eng (A),SP19,43,33,78.1 %,93.8 %,7.69,B (3.21),B (3.27)
"Broccard, Frederic Denis",BENG 140B - Bioengineering Physiology (A),SP19,33,8,100.0 %,87.5 %,7,B+ (3.50),B- (2.79)
"Alvarez-Cabanillas, Miguel",BENG 140B - Bioengineering Physiology (B),SP19,49,28,46.2 %,15.4 %,6.5,B+ (3.44),B+ (3.48)
"Zhang, Kun",BENG 160 - Chem & Molecular BENG Techniqs (A),SP19,56,32,78.1 %,84.4 %,7.85,A- (3.74),B+ (3.38)
"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP19,51,17,92.9 %,100.0 %,10.13,B+ (3.67),B+ (3.41)
"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP19,51,17,92.9 %,100.0 %,10.13,B+ (3.67),B+ (3.41)
"Bafna, Vineet",BENG 182 - Biological Databases (A),SP19,26,7,71.4 %,85.7 %,7.36,B (3.14),B (3.24)
"Kwon, Ester Jihae",BENG 186A - Principles/Biomaterials Design (A),SP19,101,71,82.6 %,92.8 %,6.38,B+ (3.49),B (3.26)
"Wheeler, Bruce Christopher",BENG 187A - BENG Design Project: Planning (A),SP19,153,47,83.3 %,95.2 %,1.09,A (4.00),N/A
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (A),SP19,53,12,100.0 %,100.0 %,4.68,A- (3.91),B+ (3.61)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (B),SP19,55,9,88.9 %,100.0 %,3.39,A (4.00),B+ (3.61)
"Contijoch, Francisco",BENG 189 - Physiological Systems Eng (A),SP19,17,17,94.1 %,100.0 %,6.97,B (3.24),N/A
"Engler, Adam J.",BENG 193 - Clinical Bioengineering (A),SP19,19,9,100.0 %,100.0 %,6.5,A (4.00),N/A
"Sah, Robert Lie-Yuan",BENG 87 - Freshman Seminar (A),SP19,11,3,100.0 %,100.0 %,0.5,N/A,N/A
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (C),SP19,19,10,100.0 %,100.0 %,0.7,N/A,N/A
"Chien, Shu",BENG 1 - Introduction to Bioengineering (A),WI19,170,104,79.6 %,93.7 %,2.79,B+ (3.67),N/A
"Mc Culloch, Andrew Douglas",BENG 112A - Tissue Biomechanics (A),WI19,70,15,85.7 %,78.6 %,7.07,B+ (3.50),B (3.15)
"Subramaniam, Shankar",BENG 120 - Org Chem-Structural & Design (A),WI19,53,25,50.0 %,65.2 %,8.25,B+ (3.33),B+ (3.38)
"Wang, Yingxiao",BENG 120 - Org Chem-Structural & Design (A),WI19,52,25,50.0 %,54.2 %,8.25,B+ (3.33),B+ (3.38)
"Palsson, Bernhard O.",BENG 123 - Dynamic Simulatn in Bioeng (A),WI19,61,18,76.5 %,58.8 %,11.72,B+ (3.56),B (3.01)
"Wheeler, Bruce Christopher",BENG 126B - Design Implmnt Informatcs BENG (A),WI19,20,3,66.7 %,100.0 %,5.17,A (4.00),B+ (3.65)
"Subramaniam, Shankar",BENG 130 - Biotech Thermodynamics & Kinet (A),WI19,184,55,55.8 %,69.2 %,6.5,B (3.25),B+ (3.58)
"Cabrales, Pedro",BENG 140A - Bioengineering Physiology (A),WI19,88,51,92.2 %,96.1 %,6.03,B+ (3.40),B (3.24)
"Wheeler, Bruce Christopher",BENG 148B - Design Implmntatn Cardiac BENG (A),WI19,8,3,100.0 %,100.0 %,11.5,B+ (3.50),N/A
"Wheeler, Bruce Christopher",BENG 152 - BioSystems Engineering Lab (A),WI19,32,11,100.0 %,100.0 %,6.1,A (4.00),A- (3.77)
"Huang, Xiaohua",BENG 161B - Biochemical Engineering (A),WI19,40,24,100.0 %,87.5 %,7.2,A- (3.88),B+ (3.68)
"Lewis, Nathan E",BENG 161B - Biochemical Engineering (B),WI19,24,3,33.3 %,66.7 %,5.17,B+ (3.67),B (3.16)
"Wang, Yingxiao",BENG 168 - Biomolecular Engineering (A),WI19,75,20,95.0 %,100.0 %,6.61,B+ (3.63),A- (3.74)
"Wheeler, Bruce Christopher",BENG 179B - Design Implmnt Bioinstrumntatn (A),WI19,59,3,50.0 %,100.0 %,9.5,B+ (3.50),A- (3.87)
"Pevzner, Pavel Arkadjevich",BENG 181 - Molecular Sequence Analysis (A),WI19,26,8,100.0 %,85.7 %,19.07,A- (3.86),B (3.21)
"Cauwenberghs, Gert",BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI19,69,16,93.8 %,80.0 %,9,B+ (3.38),B+ (3.33)
"Wheeler, Bruce Christopher",BENG 187C - BENG Design Proj:Implemntation (A),WI19,130,13,92.3 %,100.0 %,5.12,A- (3.92),N/A
"Mc Culloch, Andrew Douglas",BENG 110 - Foundation of Biomechanics (A),FA18,63,33,96.8 %,93.5 %,5.79,B+ (3.58),B (3.25)
"Valdez-Jasso, Daniela",BENG 110 - Foundation of Biomechanics (B),FA18,47,15,76.9 %,69.2 %,8.04,B+ (3.62),B (3.13)
"Metallo, Christian Michael",BENG 122A - Biosystems and Control (A),FA18,59,18,94.1 %,88.2 %,6.38,A- (3.71),B+ (3.47)
"Wheeler, Bruce Christopher",BENG 126A - Design Dev Bioinformatics BENG (A),FA18,19,4,100.0 %,100.0 %,8.5,B+ (3.67),N/A
"Coleman, Todd Prentice",BENG 134 - Measurements/Stats/Probability (A),FA18,32,18,87.5 %,93.8 %,17.25,B (3.19),B+ (3.63)
"Wheeler, Bruce Christopher",BENG 135 - Biomedical Signals & Systems (A),FA18,19,3,66.7 %,100.0 %,6.5,B+ (3.67),N/A
"Lal, Ratnesh",BENG 141 - Biomedical Optics and Imaging (A),FA18,32,29,93.1 %,89.7 %,4.98,A- (3.76),B+ (3.66)
"Wheeler, Bruce Christopher",BENG 148A - Design Developmnt Cardiac BENG (A),FA18,8,3,100.0 %,100.0 %,11.5,B+ (3.50),N/A
"Fraley, Stephanie I.",BENG 161A - Bioreactor Engineering (A),FA18,67,55,90.9 %,89.1 %,9.52,B+ (3.31),B (3.02)
"Mali, Prashant Gulab Ram",BENG 162 - Biotechnology Laboratory (A),FA18,66,57,84.2 %,89.5 %,8.68,B+ (3.53),B (3.16)
"Sah, Robert Lie-Yuan",BENG 166A - Cell and Tissue Engineering (A),FA18,71,42,14.6 %,20.0 %,9.85,B (3.22),B+ (3.40)
"Wheeler, Bruce Christopher",BENG 169A - Design Developmnt Tissue Engin (A),FA18,14,3,100.0 %,100.0 %,3.5,A (4.00),N/A
"Wheeler, Bruce Christopher",BENG 179A - Design Develop.Bioinstrumntatn (A),FA18,58,7,66.7 %,66.7 %,8.21,A (4.00),A- (3.93)
"Zhong, Sheng",BENG 183 - Applied Genomic Technologies (A),FA18,73,28,69.2 %,76.0 %,3.02,B+ (3.59),B+ (3.54)
"Wheeler, Bruce Christopher",BENG 187B - BENG Design Project:Developmnt (A),FA18,130,32,76.7 %,89.7 %,6.91,A (4.00),N/A
"Engler, Adam J.",BENG 193 - Clinical Bioengineering (A),FA18,26,9,100.0 %,100.0 %,7.39,A (4.00),A- (3.88)
"Wheeler, Bruce Christopher",BENG 2 - Intro Computer Prog & MATLAB (A),FA18,19,12,72.7 %,72.7 %,6.5,B+ (3.33),N/A
"Mc Culloch, Andrew Douglas",BENG 87 - Freshman Seminar (A),FA18,19,14,90.9 %,100.0 %,0.83,B+ (3.50),N/A
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),FA18,20,14,90.9 %,100.0 %,0.83,B+ (3.50),N/A
"Abbasi, Shaghayegh",BENG 100 - Stat Reasoning Bioeng Applns (A),S118,16,3,66.7 %,66.7 %,13.83,D+ (1.67),N/A
"Alexandrov, Ludmil B",BENG 100 - Stat Reasoning Bioeng Applns (A),SP18,163,74,76.4 %,90.1 %,7.2,B (3.18),B- (2.91)
"Huang, Xiaohua",BENG 102 - Moleculr Components Living Sys (A),SP18,51,20,63.2 %,57.9 %,5.03,B+ (3.53),A- (3.72)
"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP18,119,110,87.3 %,92.7 %,8.74,B+ (3.32),B- (3.00)
"Mc Culloch, Andrew Douglas",BENG 112B - Fluid and Cell Biomechanics (A),SP18,59,18,55.6 %,55.6 %,4.94,B+ (3.44),A- (3.82)
"Hasty, Jeff M",BENG 125 - Modeling & Computatio/Bioengr (A),SP18,131,41,81.1 %,72.2 %,6.66,B+ (3.32),B+ (3.51)
"Wheeler, Bruce Christopher",BENG 125 - Modeling & Computatio/Bioengr (A),SP18,131,41,81.1 %,75.7 %,6.66,B+ (3.32),B+ (3.51)
"Mali, Prashant Gulab Ram",BENG 133 - Numerical Analys-Computatn Eng (A),SP18,23,23,91.3 %,100.0 %,6.67,B+ (3.43),B+ (3.57)
"Silva, Gabriel",BENG 140B - Bioengineering Physiology (A),SP18,40,18,70.6 %,70.6 %,5.32,B+ (3.56),B+ (3.37)
"Devor, Anna",BENG 140B - Bioengineering Physiology (B),SP18,30,11,100.0 %,100.0 %,3.41,B+ (3.64),A- (3.78)
"Zhang, Kun",BENG 160 - Chem & Molecular BENG Techniqs (A),SP18,63,57,80.7 %,94.7 %,8.01,B+ (3.54),B+ (3.36)
"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP18,45,12,83.3 %,100.0 %,10,B+ (3.55),B+ (3.56)
"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP18,45,12,83.3 %,100.0 %,10,B+ (3.55),B+ (3.56)
"Bafna, Vineet",BENG 182 - Biological Databases (A),SP18,20,6,83.3 %,100.0 %,8.5,B- (2.83),B (3.25)
"Bansal, Vikas",BENG 182 - Biological Databases (C),SP18,15,4,75.0 %,50.0 %,6.5,B (3.00),N/A
"Dequach, Jessica A",BENG 186A - Principles/Biomaterials Design (A),SP18,105,78,63.2 %,64.5 %,6.03,B (3.23),B (3.18)
"Wheeler, Bruce Christopher",BENG 187A - BENG Design Project: Planning (A),SP18,130,43,100.0 %,97.4 %,1.83,A- (3.97),N/A
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (A),SP18,23,5,100.0 %,100.0 %,6.5,A (4.00),A- (3.90)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (B),SP18,58,16,75.0 %,93.8 %,6,A- (3.88),A- (3.90)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (C),SP18,48,16,92.9 %,100.0 %,3.83,A (4.00),A- (3.90)
"Gough, David A.",BENG 189 - Physiological Systems Eng (A),SP18,31,8,37.5 %,25.0 %,4.5,B+ (3.38),A- (3.72)
"Silva, Gabriel",BENG 189 - Physiological Systems Eng (A),SP18,31,8,37.5 %,75.0 %,4.5,B+ (3.38),A- (3.72)
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),SP18,13,8,100.0 %,100.0 %,1.25,N/A,N/A
"Chien, Shu",BENG 1 - Introduction to Bioengineering (A),WI18,198,124,73.7 %,88.8 %,3.36,A- (3.80),N/A
"Omens, Jeffrey Howard",BENG 112A - Tissue Biomechanics (A),WI18,62,21,90.0 %,90.0 %,5.87,B+ (3.58),B+ (3.52)
"Wheeler, Bruce Christopher",BENG 119B - Design Implmntatn Biomechanics (A),WI18,24,5,60.0 %,100.0 %,3.7,A (4.00),A (4.00)
"Subramaniam, Shankar",BENG 120 - Org Chem-Structural & Design (A),WI18,51,26,68.0 %,80.0 %,7.92,B- (2.88),B+ (3.39)
"Wang, Yingxiao",BENG 120 - Org Chem-Structural & Design (A),WI18,50,26,68.0 %,64.0 %,7.92,B- (2.88),B+ (3.39)
"Palsson, Bernhard O.",BENG 123 - Dynamic Simulatn in Bioeng (A),WI18,67,20,66.7 %,66.7 %,11.91,B+ (3.50),B+ (3.36)
"Wheeler, Bruce Christopher",BENG 128B - Design Implmnt Genetic Circuit (A),WI18,21,9,88.9 %,100.0 %,9.75,A- (3.89),A (4.00)
"Huang, Xiaohua",BENG 130 - Biotech Thermodynamics & Kinet (A),WI18,169,99,73.7 %,64.6 %,6.54,B+ (3.42),B+ (3.43)
"Cabrales, Pedro",BENG 140A - Bioengineering Physiology (A),WI18,49,26,91.7 %,91.7 %,7.83,B+ (3.58),B+ (3.59)
"Sparks, Steven Ray",BENG 140A - Bioengineering Physiology (C),WI18,29,10,66.7 %,33.3 %,6.06,B (3.11),B+ (3.60)
"Wheeler, Bruce Christopher",BENG 147B - Design Implmntatn Neural Engin (A),WI18,17,4,75.0 %,100.0 %,9.5,A- (3.75),N/A
"Wheeler, Bruce Christopher",BENG 152 - BioSystems Engineering Lab (A),WI18,15,9,100.0 %,100.0 %,6.94,A- (3.88),N/A
"Metallo, Christian Michael",BENG 161B - Biochemical Engineering (A),WI18,47,15,86.7 %,93.3 %,7.57,B+ (3.33),B+ (3.40)
"Lewis, Nathan E",BENG 161B - Biochemical Engineering (B),WI18,11,6,83.3 %,100.0 %,7.5,B (3.17),N/A
"Wang, Yingxiao",BENG 168 - Biomolecular Engineering (A),WI18,72,20,100.0 %,100.0 %,7.2,B+ (3.65),A- (3.71)
"Wheeler, Bruce Christopher",BENG 169B - Design Implmntatn Tissue Engin (A),WI18,27,5,100.0 %,100.0 %,7.7,A (4.00),A (4.00)
"Pevzner, Pavel Arkadjevich",BENG 181 - Molecular Sequence Analysis (A),WI18,39,19,70.6 %,70.6 %,17.61,B- (2.89),B+ (3.30)
"Cauwenberghs, Gert",BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI18,40,12,81.8 %,90.9 %,9,B (3.17),B+ (3.39)
"Alvarez-Cabanillas, Miguel",BENG 186B - Princpls/Bioinstrumentatn Desn (C),WI18,20,10,100.0 %,87.5 %,10.75,B (3.00),B+ (3.38)
"Wheeler, Bruce Christopher",BENG 187C - BENG Design Proj:Implemntation (A),WI18,129,33,87.5 %,96.8 %,4.38,A- (3.97),N/A
"Gough, David A.",BENG 87 - Freshman Seminar (A),WI18,9,5,100.0 %,100.0 %,0.9,N/A,N/A
"Engler, Adam J.",BENG 87 - Freshman Seminar (B),WI18,14,8,100.0 %,100.0 %,0.5,N/A,N/A
"Mc Culloch, Andrew Douglas",BENG 110 - Foundation of Biomechanics (A),FA17,90,44,62.8 %,48.8 %,6.45,B+ (3.36),A- (3.73)
"Wheeler, Bruce Christopher",BENG 119A - Design Develop.in Biomechanics (A),FA17,25,6,80.0 %,100.0 %,1.7,B+ (3.67),A- (3.88)
"Gough, David A.",BENG 122A - Biosystems and Control (A),FA17,62,11,30.0 %,20.0 %,5.7,B+ (3.30),B+ (3.31)
"Wheeler, Bruce Christopher",BENG 127A - Design Dev.Molec. Systems BENG (A),FA17,13,3,66.7 %,100.0 %,1.17,A (4.00),N/A
"Wheeler, Bruce Christopher",BENG 128A - Design Dev.Genetc Circuit BENG (A),FA17,20,7,100.0 %,100.0 %,6.5,A (4.00),A- (3.85)
"Bartsch, Dirk-Uwe Guenther",BENG 134 - Measurements/Stats/Probability (A),FA17,20,12,36.4 %,33.3 %,6.5,B+ (3.50),B+ (3.55)
"Wheeler, Bruce Christopher",BENG 135 - Biomedical Signals & Systems (A),FA17,33,4,100.0 %,100.0 %,8.5,B (3.25),B+ (3.53)
"Lal, Ratnesh",BENG 141 - Biomedical Optics and Imaging (A),FA17,18,17,100.0 %,100.0 %,5.79,A- (3.71),N/A
"Wheeler, Bruce Christopher",BENG 147A - Design Develpmnt in Neural Eng (A),FA17,16,4,100.0 %,75.0 %,6.5,A (4.00),N/A
"Fraley, Stephanie I.",BENG 161A - Bioreactor Engineering (A),FA17,61,41,97.6 %,97.6 %,8.5,B+ (3.54),B- (2.92)
"Mali, Prashant Gulab Ram",BENG 162 - Biotechnology Laboratory (A),FA17,59,44,100.0 %,100.0 %,6.08,A- (3.77),A- (3.75)
"Sah, Robert Lie-Yuan",BENG 166A - Cell and Tissue Engineering (A),FA17,64,39,36.1 %,41.7 %,8.23,B+ (3.69),B+ (3.46)
"Wheeler, Bruce Christopher",BENG 169A - Design Developmnt Tissue Engin (A),FA17,26,6,100.0 %,100.0 %,5.3,A- (3.75),A- (3.95)
"Zhong, Sheng",BENG 183 - Applied Genomic Technologies (A),FA17,83,70,72.9 %,77.1 %,3.9,B+ (3.43),A- (3.75)
