Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
ECE,ECE 101 ,"Siegel, Paul H.",WI13,76,30,82.8,89.7,9.31,2.88,2.55
ECE,ECE 101 ,"Siegel, Paul H.",WI16,155,69,89.1,95.3,8.18,3.1,2.49
ECE,ECE 101 ,"Touri, Behrouz",SP18,146,65,80.3,86.9,7.7,3.18,2.97
ECE,ECE 101 ,"Touri, Behrouz",WI19,57,38,86.1,94.4,7.09,3.25,3.34
ECE,ECE 101 ,"Vardy, Alexander",FA07,98,65,79.4,79.0,7.83,3.0,2.85
ECE,ECE 101 ,"Vardy, Alexander",WI14,104,37,75.0,81.3,8.5,3.2,2.62
ECE,ECE 102 ,"Groe, John",FA10,78,37,75.7,45.9,12.5,3.06,2.49
ECE,ECE 102 ,"Groe, John",SP12,59,23,91.3,65.2,11.11,3.13,2.08
ECE,ECE 102 ,"Hall, Drew A.",FA13,64,41,94.9,92.3,12.81,3.08,2.73
ECE,ECE 102 ,"Hall, Drew A.",FA14,66,33,93.8,96.9,9.98,3.33,2.56
ECE,ECE 102 ,"Hall, Drew A.",FA18,54,23,82.6,90.9,12.24,2.83,2.71
ECE,ECE 102 ,"Hall, Drew A.",SP13,76,32,96.9,90.6,9.94,3.21,2.93
ECE,ECE 102 ,"Hall, Drew A.",WI14,63,30,96.6,93.1,11.4,3.28,2.61
ECE,ECE 102 ,"Hall, Drew A.",WI15,150,65,93.5,96.8,11.29,3.17,2.58
ECE,ECE 102 ,"Hall, Drew A.",WI16,220,102,84.0,86.2,12.94,2.9,2.56
ECE,ECE 102 ,"Hall, Drew A.",WI17,179,97,76.8,91.6,12.09,2.83,2.7
ECE,ECE 102 ,"Hsueh, Tzu-Chien",WI19,65,22,88.9,77.8,9.87,3.05,3.0
ECE,ECE 102 ,"Larson, Lawrence E.",FA07,108,60,89.3,98.2,8.96,3.12,2.04
ECE,ECE 102 ,"Larson, Lawrence E.",FA08,101,55,88.9,90.7,8.5,3.09,2.54
ECE,ECE 102 ,"Najmabadi, Farrokh",FA11,88,36,97.2,91.7,9.39,3.24,2.67
ECE,ECE 102 ,"Najmabadi, Farrokh",FA12,126,47,88.6,97.7,7.32,3.33,2.55
ECE,ECE 102 ,"Najmabadi, Farrokh",WI10,81,28,89.3,78.6,7.76,2.96,2.17
ECE,ECE 102 ,"Najmabadi, Farrokh",WI11,102,33,80.6,93.8,7.05,2.94,2.45
ECE,ECE 102 ,"Schurgers, Curt",FA09,72,42,87.8,80.5,7.82,3.05,2.22
ECE,ECE 102 ,"Schurgers, Curt",FA17,51,36,85.3,94.1,11.15,2.85,2.13
ECE,ECE 102 ,"Schurgers, Curt",WI08,50,31,83.3,90.3,10.31,3.15,2.21
ECE,ECE 102 ,"Schurgers, Curt",WI09,49,32,87.5,87.5,9.06,2.84,1.98
ECE,ECE 103 ,"Dayeh, Shadi Ahmad",FA13,91,48,66.7,75.6,10.05,2.71,2.07
ECE,ECE 103 ,"Dayeh, Shadi Ahmad",WI15,85,39,91.9,100.0,10.33,3.05,3.27
ECE,ECE 103 ,"Kuzum, Duygu",SP16,110,60,82.8,94.8,8.39,3.16,3.09
ECE,ECE 103 ,"Kuzum, Duygu",SP17,67,20,64.7,70.6,6.62,3.18,3.07
ECE,ECE 103 ,"Kuzum, Duygu",SP18,39,18,88.2,100.0,7.79,3.0,3.15
ECE,ECE 103 ,"Kuzum, Duygu",SP19,53,21,94.7,100.0,6.82,3.26,2.89
ECE,ECE 103 ,"Kuzum, Duygu",WI18,27,12,100.0,100.0,8.17,3.42,3.17
ECE,ECE 103 ,"Ng, Tse Nga",FA16,147,61,80.0,80.0,7.9,3.19,2.85
ECE,ECE 103 ,"Ng, Tse Nga",FA17,32,22,81.8,77.3,6.68,3.09,2.97
ECE,ECE 103 ,"Ng, Tse Nga",FA18,42,20,78.9,63.2,8.61,3.44,3.07
ECE,ECE 103 ,"Taur, Yuan",FA09,77,31,83.3,73.3,5.17,3.23,2.76
ECE,ECE 103 ,"Taur, Yuan",FA10,82,34,67.6,70.6,6.97,3.0,2.76
ECE,ECE 103 ,"Taur, Yuan",FA11,71,36,80.0,60.0,9.47,3.32,2.87
ECE,ECE 103 ,"Tu, Charles",FA07,39,26,61.5,40.0,7.5,2.88,2.61
ECE,ECE 103 ,"Tu, Charles",FA08,52,46,60.9,71.1,6.98,3.05,2.47
ECE,ECE 103 ,"Tu, Charles",FA12,91,34,73.3,46.7,7.83,3.03,2.46
ECE,ECE 103 ,"Tu, Charles",FA14,194,60,88.2,66.7,8.14,3.24,2.53
ECE,ECE 103 ,"Tu, Charles",FA15,74,52,76.5,72.5,8.42,3.1,2.6
ECE,ECE 103 ,"Tu, Charles",WI13,66,25,82.6,60.9,7.46,3.09,2.62
ECE,ECE 103 ,"Tu, Charles",WI14,103,27,69.2,73.1,8.04,3.15,2.5
ECE,ECE 103 ,"Tu, Charles",WI16,107,72,80.6,65.3,6.87,2.87,2.8
ECE,ECE 103 ,"Tu, Charles",WI17,41,11,36.4,36.4,7.05,3.0,2.8
ECE,ECE 103 ,"Wang, Deli",SP08,57,33,76.7,63.3,7.59,3.27,2.62
ECE,ECE 103 ,"Wang, Deli",WI09,59,43,71.4,38.1,6.92,2.98,2.57
ECE,ECE 103 ,"Wang, Deli",WI10,44,17,70.6,47.1,6.5,3.29,2.84
ECE,ECE 103 ,"Wang, Deli",WI11,67,33,75.8,69.7,8.68,3.21,2.91
ECE,ECE 103 ,"Wang, Deli",WI12,67,25,70.8,62.5,7.17,3.16,2.85
ECE,ECE 107 ,"Fullerton, Eric E",SP08,80,36,91.2,82.4,7.0,3.08,2.74
ECE,ECE 107 ,"Fullerton, Eric E",SP09,66,36,81.8,93.9,7.53,3.18,2.85
ECE,ECE 107 ,"Fullerton, Eric E",SP10,48,29,82.1,96.6,8.78,3.1,2.75
ECE,ECE 107 ,"Fullerton, Eric E",SP11,95,42,75.6,95.1,8.6,2.83,2.46
ECE,ECE 107 ,"Fullerton, Eric E",SP12,67,30,82.1,71.4,9.9,2.87,2.62
ECE,ECE 107 ,"Fullerton, Eric E",SP13,91,27,76.9,84.6,9.58,3.21,2.67
ECE,ECE 107 ,"Fullerton, Eric E",SP14,119,35,78.8,81.8,10.38,2.8,2.6
ECE,ECE 107 ,"Fullerton, Eric E",SP15,183,48,88.4,83.7,9.62,3.03,2.41
ECE,ECE 107 ,"Fullerton, Eric E",SP16,173,50,89.4,93.6,9.45,2.93,2.64
ECE,ECE 107 ,"Fullerton, Eric E",SP17,94,24,68.2,77.3,10.6,2.82,2.43
ECE,ECE 107 ,"Fullerton, Eric E",SP19,104,34,80.0,60.0,10.1,3.0,2.8
ECE,ECE 107 ,"Kante, Boubacar",WI16,89,73,74.6,62.0,7.76,2.62,2.11
ECE,ECE 107 ,"Kante, Boubacar",WI17,32,24,91.7,83.3,7.75,2.75,2.39
ECE,ECE 107 ,"Kante, Boubacar",WI18,53,33,80.6,90.3,7.56,3.03,2.92
ECE,ECE 107 ,"Lomakin, Vitaliy",FA16,50,19,76.5,76.5,8.23,2.93,2.61
